participant_id	age	sex	group
sub-1001	19	F	control
sub-1006	20	M	control
sub-1007	21	F	control
sub-1009	20	F	control
sub-1010	22	M	control
sub-1011	22	M	control
sub-1012	19	F	control
sub-1013	18	F	control
sub-1015	21	F	control
sub-1016	22	F	control
sub-1019	18	F	control
sub-1021	21	F	control
sub-1240	20	F	control
sub-1242	20	F	control
sub-1243	24	F	control
sub-1244	26	F	control
sub-1245	20	F	control
sub-1247	21	F	control
sub-1248	23	M	control
sub-1249	19	F	control
sub-1251	21	M	control
sub-1253	19	F	control
sub-1255	19	F	control
sub-1276	21	F	control
sub-1282	20	F	control
sub-1286	22	F	control
sub-1294	21	F	control
