participant_id	ios_p	ios_fu_score	ios_computer
sub-1001	5	1.0	1.0
sub-1002	5	n/a	n/a
sub-1003	3	n/a	n/a
sub-1004	3	2.0	2.0
sub-1006	5	2.0	2.0
sub-1007	5	n/a	n/a
sub-1009	6	2.0	1.0
sub-1010	6	n/a	n/a
sub-1011	5	n/a	n/a
sub-1012	5	2.0	1.0
sub-1013	4	1.0	2.0
sub-1015	4	n/a	n/a
sub-1016	3	n/a	n/a
sub-1019	3	n/a	n/a
sub-1021	2	1.0	1.0
sub-1240	5	1.0	1.0
sub-1242	5	3.0	1.0
sub-1243	3	1.0	1.0
sub-1244	2	4.0	1.0
sub-1245	6	1.0	1.0
sub-1247	5	3.0	2.0
sub-1248	5	1.0	2.0
sub-1249	7	1.0	5.0
sub-1251	5	n/a	n/a
sub-1253	6	2.0	2.0
sub-1255	4	n/a	n/a
sub-1276	2	2.0	1.0
sub-1282	5	3.0	2.0
sub-1286	5	2.0	1.0
sub-1294	5	2.0	1.0
sub-1300	6	2.0	4.0
sub-1301	4	n/a	n/a
sub-1302	4	2.0	2.0
sub-1303	6	n/a	n/a
sub-3101	4	n/a	n/a
sub-3116	4	5.0	1.0
sub-3122	7	n/a	n/a
sub-3125	7	5.0	2.0
sub-3140	7	1.0	1.0
sub-3143	6	n/a	n/a
sub-3152	6	2.0	5.0
sub-3164	6	2.0	1.0
sub-3166	4	n/a	n/a
sub-3167	4	3.0	4.0
sub-3170	7	2.0	1.0
sub-3173	3	1.0	3.0
sub-3175	5	n/a	n/a
sub-3176	6	n/a	n/a
sub-3186	5	2.0	1.0
sub-3189	4	5.0	4.0
sub-3190	4	1.0	2.0
sub-3199	3	n/a	n/a
sub-3200	5	1.0	4.0
sub-3206	4	1.0	4.0
sub-3210	3	n/a	n/a
sub-3212	7	n/a	n/a
sub-3218	5	n/a	n/a
sub-3220	5	5.0	5.0
sub-3223	4	n/a	n/a
